gene_id,gene,ctl1,ctl2,ctl3,dta1,dta2,dta3
ENSMUSG00000000001,Gnai3,3,7,15,51,40,1
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0,1,1,3,5,0
ENSMUSG00000000037,Scml2,0,0,0,1,0,0
ENSMUSG00000000049,Apoh,0,0,0,0,0,0
ENSMUSG00000000056,Narf,13,87,33,271,203,7
ENSMUSG00000000058,Cav2,0,1,1,3,2,0
ENSMUSG00000000078,Klf6,1,1,4,10,14,0
ENSMUSG00000000085,Scmh1,2,7,24,93,103,2
ENSMUSG00000000088,Cox5a,26,118,63,797,715,10
ENSMUSG00000000093,Tbx2,0,0,3,0,0,0
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,7,59,3,176,605,1
ENSMUSG00000000125,Wnt3,6,18,9,164,146,8
ENSMUSG00000000126,Wnt9a,0,0,1,2,3,0
ENSMUSG00000000127,Fer,0,7,14,35,50,3
ENSMUSG00000000131,Xpo6,1,15,25,86,112,0
ENSMUSG00000000134,Tfe3,2,5,8,34,32,2
ENSMUSG00000000142,Axin2,1,1,14,11,18,0
ENSMUSG00000000148,Brat1,1,7,12,42,57,5
ENSMUSG00000000149,Gna12,1,6,21,52,69,0
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,0
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,0,0,2,0,2,0
ENSMUSG00000000168,Dlat,13,57,21,344,313,6
ENSMUSG00000000171,Sdhd,23,84,36,494,422,15
ENSMUSG00000000182,Fgf23,0,0,0,1,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,0,0,19,16,28,0
ENSMUSG00000000194,Gpr107,4,16,18,94,70,2
ENSMUSG00000000197,Nalcn,1,6,10,66,55,2
ENSMUSG00000000202,Btbd17,0,1,25,70,10,0
ENSMUSG00000000204,Slfn4,0,0,0,0,0,0
ENSMUSG00000000214,Th,0,5,2,24,24,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,0,0,0,23,39,0
ENSMUSG00000000244,Tspan32,0,0,0,0,0,0
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0
ENSMUSG00000000248,Clec2g,0,0,0,0,0,0
ENSMUSG00000000253,Gmpr,5,23,9,104,72,4
ENSMUSG00000000263,Glra1,0,0,0,2,0,0
ENSMUSG00000000266,Mid2,4,5,3,23,16,2
ENSMUSG00000000275,Trim25,0,0,0,0,1,0
ENSMUSG00000000276,Dgke,4,19,27,197,155,6
ENSMUSG00000000278,Scpep1,0,0,6,21,14,1
ENSMUSG00000000282,Mnt,1,6,9,21,17,0
ENSMUSG00000000290,Itgb2,0,0,3,0,0,0
ENSMUSG00000000295,Hddc2,1,1,2,17,14,1
ENSMUSG00000000296,Tpd52l1,0,0,3,8,2,0
ENSMUSG00000000301,Pemt,0,1,1,6,8,0
ENSMUSG00000000303,Cdh1,0,0,0,0,0,0
ENSMUSG00000000305,Cdh4,0,0,2,4,7,0
ENSMUSG00000000308,Ckmt1,46,137,100,909,758,20
ENSMUSG00000000317,Bcl6b,0,0,0,0,0,0
ENSMUSG00000000318,Clec10a,0,0,1,0,0,0
ENSMUSG00000000320,Alox12,0,1,0,0,2,0
ENSMUSG00000000326,Comt,20,22,30,220,237,4
ENSMUSG00000000339,Rtca,7,17,18,201,204,4
ENSMUSG00000000340,Dbt,2,7,5,43,49,4
ENSMUSG00000000346,Dazap2,1,4,6,21,17,0
ENSMUSG00000000355,Mcts1,3,25,12,86,98,2
ENSMUSG00000000359,Rem1,0,0,0,0,1,0
ENSMUSG00000000365,Rnf17,0,0,0,4,20,0
ENSMUSG00000000374,Trappc10,4,19,17,115,137,4
ENSMUSG00000000378,Ccm2,4,13,11,77,65,3
ENSMUSG00000000381,Wap,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,3,10,21,87,92,2
ENSMUSG00000000385,Tmprss2,0,0,0,5,2,0
ENSMUSG00000000392,Fap,0,0,0,2,1,0
ENSMUSG00000000394,Gcg,0,0,0,3,6,0
ENSMUSG00000000399,Ndufa9,12,36,22,239,192,6
ENSMUSG00000000402,Egfl6,0,0,0,2,0,0
ENSMUSG00000000409,Lck,0,0,0,0,0,0
ENSMUSG00000000411,Tssk3,0,0,0,1,0,0
ENSMUSG00000000416,Cttnbp2,9,142,87,738,565,48
ENSMUSG00000000420,Galnt1,13,31,19,240,170,11
ENSMUSG00000000435,Myf5,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,1,7,7,56,41,2
ENSMUSG00000000440,Pparg,0,0,2,3,2,0
ENSMUSG00000000441,Raf1,1,32,59,230,213,7
ENSMUSG00000000489,Pdgfb,0,1,1,4,19,0
ENSMUSG00000000530,Acvrl1,0,1,0,0,0,0
ENSMUSG00000000532,Acvr1b,6,18,11,76,84,4
ENSMUSG00000000538,Tom1l2,6,23,36,149,173,6
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0
ENSMUSG00000000552,Zfp385a,34,121,62,735,747,19
ENSMUSG00000000555,Itga5,0,1,1,22,60,0
ENSMUSG00000000560,Gabra2,0,0,8,12,17,0
ENSMUSG00000000561,Wdr77,1,13,28,135,153,2
ENSMUSG00000000562,Adora3,0,0,0,0,0,0
ENSMUSG00000000567,Sox9,2,0,18,22,38,0
ENSMUSG00000000568,Hnrnpd,6,18,40,144,136,6
ENSMUSG00000000581,C1d,2,8,9,83,113,2
ENSMUSG00000000594,Gm2a,14,38,37,343,370,15
ENSMUSG00000000600,Krit1,0,3,8,29,30,2
ENSMUSG00000000605,Clcn4,17,49,42,318,279,12
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,0,0,0,0,0,0
ENSMUSG00000000627,Sema4f,5,14,30,99,63,5
ENSMUSG00000000628,Hk2,1,1,6,11,2,0
ENSMUSG00000000631,Myo18a,6,27,40,260,297,5
ENSMUSG00000000632,Sez6,2,7,88,123,336,7
ENSMUSG00000000673,Haao,0,0,0,0,0,0
ENSMUSG00000000682,Cd52,0,0,0,1,0,0
ENSMUSG00000000686,Abhd15,0,1,2,0,0,0
ENSMUSG00000000690,Hoxb6,0,0,0,0,0,0
ENSMUSG00000000693,Loxl3,0,0,2,2,0,0
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0,0,0,0,1,0
ENSMUSG00000000708,Kat2b,1,2,6,52,37,4
ENSMUSG00000000711,Rab5b,9,23,21,145,127,1
ENSMUSG00000000724,Cryba1,0,0,0,0,0,0
ENSMUSG00000000730,Dnmt3l,0,0,0,0,0,0
ENSMUSG00000000731,Aire,0,0,0,0,0,0
ENSMUSG00000000732,Icosl,0,0,0,8,0,1
ENSMUSG00000000738,Spg7,7,25,25,195,184,6
ENSMUSG00000000739,Sult5a1,0,0,0,0,1,0
ENSMUSG00000000743,Chmp1a,3,27,28,142,138,2
ENSMUSG00000000751,Rpa1,8,39,28,136,109,3
ENSMUSG00000000753,Serpinf1,0,0,0,0,10,0
ENSMUSG00000000759,Tubgcp3,0,9,18,65,61,3
ENSMUSG00000000766,Oprm1,0,0,2,2,0,0
ENSMUSG00000000776,Polr3d,3,9,9,60,61,0
ENSMUSG00000000782,Tcf7,0,0,2,0,2,0
ENSMUSG00000000787,Ddx3x,20,49,59,380,309,11
ENSMUSG00000000791,Il12rb1,0,1,0,0,1,0
ENSMUSG00000000792,Slc5a5,0,0,0,0,0,0
ENSMUSG00000000794,Kcnn3,0,0,3,0,9,0
ENSMUSG00000000804,Usp32,1,11,17,97,91,2
ENSMUSG00000000805,Car4,0,0,45,24,47,2
ENSMUSG00000000811,Txnrd3,1,5,3,29,30,1
ENSMUSG00000000817,Fasl,0,0,0,0,0,0
ENSMUSG00000000823,Zfp512b,2,7,29,92,100,4
ENSMUSG00000000826,Dnajc5,14,81,59,470,419,9
ENSMUSG00000000827,Tpd52l2,6,17,25,151,122,3
ENSMUSG00000000838,Fmr1,2,13,34,98,124,3
ENSMUSG00000000861,Bcl11a,9,26,21,286,272,7
ENSMUSG00000000869,Il4,0,0,0,0,0,0
ENSMUSG00000000876,Pxmp4,1,2,3,11,18,0
ENSMUSG00000000881,Dlg3,7,12,23,90,106,3
ENSMUSG00000000884,Gnb1l,0,2,5,7,9,0
ENSMUSG00000000889,Dbh,0,0,1,0,0,0
ENSMUSG00000000901,Mmp11,0,0,1,0,2,0
ENSMUSG00000000902,Smarcb1,8,23,20,137,143,1
ENSMUSG00000000903,Vpreb3,0,0,0,1,0,0
ENSMUSG00000000915,Hip1r,8,22,42,128,139,5
ENSMUSG00000000916,Nsun5,0,6,5,19,19,0
ENSMUSG00000000934,Top1mt,2,11,4,19,32,1
ENSMUSG00000000938,Hoxa10,0,0,0,0,0,0
ENSMUSG00000000942,Hoxa4,0,0,0,0,0,0
ENSMUSG00000000957,Mmp14,0,0,14,14,30,0
ENSMUSG00000000958,Slc7a7,0,0,0,0,0,0
ENSMUSG00000000959,Oxa1l,2,15,24,109,133,7
ENSMUSG00000000976,Heatr6,0,4,8,28,25,4
ENSMUSG00000000982,Ccl3,0,0,0,0,0,0
ENSMUSG00000000983,Wfdc18,0,0,0,0,0,0
ENSMUSG00000001014,Icam4,0,0,0,0,0,0
ENSMUSG00000001016,Ilf2,2,16,25,109,159,2
ENSMUSG00000001017,Chtop,11,36,45,249,244,9
ENSMUSG00000001018,Snapin,9,9,8,56,54,0
ENSMUSG00000001020,S100a4,0,0,2,1,0,0
ENSMUSG00000001021,S100a3,0,0,0,5,6,0
ENSMUSG00000001023,S100a5,0,0,0,0,0,0
ENSMUSG00000001025,S100a6,0,0,4,3,3,0
ENSMUSG00000001027,Scn4a,0,0,0,1,0,0
ENSMUSG00000001029,Icam2,0,0,0,1,0,0
ENSMUSG00000001034,Mapk7,0,1,12,22,22,1
ENSMUSG00000001036,Epn2,1,3,55,56,51,4
ENSMUSG00000001039,B9d1,2,3,4,23,34,0
ENSMUSG00000001052,Sec24b,0,10,15,96,80,6
ENSMUSG00000001053,N4bp3,0,0,5,8,7,0
ENSMUSG00000001054,Rmnd5b,5,8,19,93,94,4
ENSMUSG00000001056,Nhp2,3,11,12,77,124,2
ENSMUSG00000001062,Vps9d1,0,4,13,49,56,2
ENSMUSG00000001065,Zfp276,0,4,11,18,22,0
ENSMUSG00000001076,C1ql4,0,0,0,0,0,0
ENSMUSG00000001082,Mfsd10,4,5,8,30,38,2
ENSMUSG00000001089,Luzp1,0,19,29,123,94,4
ENSMUSG00000001095,Slc13a2,0,0,0,0,0,0
ENSMUSG00000001098,Kctd10,5,5,7,49,48,0
ENSMUSG00000001100,Poldip2,2,12,17,103,112,3
ENSMUSG00000001103,Sebox,0,0,3,1,0,0
ENSMUSG00000001105,Ift20,4,16,17,163,101,7
ENSMUSG00000001119,Col6a1,0,1,2,2,58,0
ENSMUSG00000001120,Pcbp3,0,6,33,49,73,0
ENSMUSG00000001123,Lgals9,0,1,1,3,0,0
ENSMUSG00000001127,Araf,14,71,48,357,331,10
ENSMUSG00000001128,Cfp,0,3,16,45,40,1
ENSMUSG00000001131,Timp1,0,0,0,0,0,0
ENSMUSG00000001134,Uxt,0,2,6,16,17,0
ENSMUSG00000001138,Cnnm3,5,7,34,77,55,1
ENSMUSG00000001143,Lman2l,6,24,21,124,68,2
ENSMUSG00000001150,Mcm3ap,0,0,3,13,12,0
ENSMUSG00000001151,Pcnt,0,7,19,45,47,2
ENSMUSG00000001155,Ftcd,0,0,0,0,0,0
ENSMUSG00000001156,Mxd1,0,4,9,23,39,2
ENSMUSG00000001157,Gmcl1,2,11,17,33,49,1
ENSMUSG00000001158,Snrnp27,2,7,17,91,88,3
ENSMUSG00000001166,Oas1c,0,0,0,1,0,0
ENSMUSG00000001168,Oas1h,0,0,0,0,0,0
ENSMUSG00000001173,Ocrl,2,9,16,85,77,4
ENSMUSG00000001175,Calm1,74,351,177,1836,1689,38
ENSMUSG00000001211,Agpat3,23,96,91,634,519,30
ENSMUSG00000001225,Slc26a3,0,0,0,0,0,0
ENSMUSG00000001227,Sema6b,17,55,29,289,296,10
ENSMUSG00000001228,Uhrf1,0,0,4,0,0,0
ENSMUSG00000001229,Dpp9,3,12,27,77,96,5
ENSMUSG00000001240,Ramp2,0,3,7,7,17,1
ENSMUSG00000001247,Lsr,0,0,0,2,1,0
ENSMUSG00000001248,Gramd1a,2,14,33,97,167,3
ENSMUSG00000001249,Hpn,0,1,2,1,2,0
ENSMUSG00000001260,Gabrg1,0,0,1,16,0,0
ENSMUSG00000001270,Ckb,176,413,250,3848,3193,61
ENSMUSG00000001280,Sp1,0,1,4,14,13,0
ENSMUSG00000001281,Itgb7,0,0,3,10,32,0
ENSMUSG00000001285,Myg1,4,11,13,95,85,8
ENSMUSG00000001288,Rarg,0,1,0,10,7,0
ENSMUSG00000001289,Pfdn5,6,12,11,82,99,3
ENSMUSG00000001300,Efnb2,1,4,6,66,56,1
ENSMUSG00000001313,Rnd2,0,1,27,30,37,0
ENSMUSG00000001323,Srr,1,5,14,72,75,4
ENSMUSG00000001333,Sync,0,0,3,3,4,0
ENSMUSG00000001334,Fndc5,25,57,43,476,291,13
ENSMUSG00000001348,Acp5,0,0,0,0,0,0
ENSMUSG00000001349,Cnn1,0,0,0,0,0,0
ENSMUSG00000001366,Fbxo9,8,31,34,269,285,6
ENSMUSG00000001376,Vps50,1,7,4,48,51,2
ENSMUSG00000001383,Zmat2,10,27,38,192,156,4
ENSMUSG00000001403,Ube2c,0,0,1,4,6,0
ENSMUSG00000001415,Smg5,2,17,40,115,137,3
ENSMUSG00000001416,Cct3,7,42,25,228,183,4
ENSMUSG00000001418,Glmp,9,20,17,149,94,7
ENSMUSG00000001419,Mef2d,7,27,57,163,185,8
ENSMUSG00000001420,Tmem79,0,1,0,0,4,0
ENSMUSG00000001424,Snd1,10,34,40,193,194,7
ENSMUSG00000001435,Col18a1,81,260,82,1665,1072,92
ENSMUSG00000001436,Slc19a1,0,12,2,30,28,1
ENSMUSG00000001440,Kpnb1,4,9,5,84,62,3
ENSMUSG00000001441,Npepps,7,32,18,268,215,5
ENSMUSG00000001444,Tbx21,0,0,0,0,0,0
ENSMUSG00000001467,Cyp51,0,9,31,63,63,2
ENSMUSG00000001472,Tcf25,23,80,125,652,607,14
ENSMUSG00000001473,Tubb6,0,0,1,1,0,0
ENSMUSG00000001482,Def8,4,22,27,83,123,3
ENSMUSG00000001493,Meox1,0,0,1,0,0,0
ENSMUSG00000001494,Sost,0,0,0,1,0,0
ENSMUSG00000001496,Nkx2-1,0,0,0,0,0,0
ENSMUSG00000001497,Pax9,0,0,0,0,0,0
ENSMUSG00000001504,Irx2,1,0,6,3,1,0
ENSMUSG00000001506,Col1a1,0,0,8,2,112,0
ENSMUSG00000001507,Itga3,22,65,33,471,273,28
ENSMUSG00000001508,Sgca,0,0,0,1,1,0
ENSMUSG00000001510,Dlx3,0,0,0,2,21,0
ENSMUSG00000001517,Foxm1,0,0,2,1,3,0
ENSMUSG00000001518,Itfg2,0,16,21,52,50,1
ENSMUSG00000001520,Nrip2,0,0,4,5,8,0
ENSMUSG00000001521,Tulp3,0,7,10,30,26,0
ENSMUSG00000001524,Gtf2h4,3,8,6,54,76,1
ENSMUSG00000001525,Tubb5,20,59,73,499,569,9
ENSMUSG00000001542,Ell2,0,8,12,80,98,3
ENSMUSG00000001552,Jup,0,4,30,52,89,2
ENSMUSG00000001555,Fkbp10,0,0,6,11,1,0
ENSMUSG00000001558,Klhl10,0,0,0,0,0,0
ENSMUSG00000001566,Mnx1,0,0,0,0,0,0
ENSMUSG00000001569,Nom1,1,8,9,40,33,4
ENSMUSG00000001576,Ergic1,31,73,48,397,325,11
ENSMUSG00000001583,Tnk1,0,0,0,0,0,0
ENSMUSG00000001588,Acap1,0,0,0,0,0,0
ENSMUSG00000001604,Tcea3,0,0,0,0,0,0
ENSMUSG00000001622,Csn3,0,0,0,0,0,0
ENSMUSG00000001627,Ifrd1,0,3,7,34,39,2
ENSMUSG00000001630,Stk38l,2,4,7,37,31,2
ENSMUSG00000001632,Brpf1,3,24,36,160,142,5
ENSMUSG00000001655,Hoxc13,0,0,0,0,0,0
ENSMUSG00000001656,Hoxc11,0,0,0,0,0,0
ENSMUSG00000001657,Hoxc8,0,0,0,0,0,0
ENSMUSG00000001661,Hoxc6,0,0,0,0,0,0
ENSMUSG00000001663,Gstt1,0,0,2,4,2,0
ENSMUSG00000001665,Gstt3,0,0,0,0,0,0
ENSMUSG00000001666,Ddt,3,9,13,76,93,1
ENSMUSG00000001670,Tat,0,0,0,0,0,0
ENSMUSG00000001672,Marveld3,0,0,0,0,1,0
ENSMUSG00000001674,Ddx18,1,3,6,27,17,0
ENSMUSG00000001687,Ubl3,29,127,63,857,644,24
ENSMUSG00000001707,Eef1e1,3,5,8,81,94,1
ENSMUSG00000001729,Akt1,19,45,57,314,374,7
ENSMUSG00000001739,Cldn15,0,0,0,0,2,0
ENSMUSG00000001741,Il16,2,0,44,59,51,1
ENSMUSG00000001750,Tcirg1,0,0,2,5,7,0
ENSMUSG00000001751,Naglu,1,2,6,22,16,2
ENSMUSG00000001755,Coasy,1,4,9,54,36,0
ENSMUSG00000001761,Smo,0,7,9,24,27,1
ENSMUSG00000001763,Tspan33,0,3,12,14,33,1
ENSMUSG00000001767,Crnkl1,0,6,8,42,36,4
ENSMUSG00000001768,Rin2,0,1,1,1,2,0
ENSMUSG00000001773,Folh1,0,0,1,1,0,0
ENSMUSG00000001774,Chordc1,3,14,11,96,74,3
ENSMUSG00000001783,Rtcb,4,34,37,245,244,10
ENSMUSG00000001785,Pwp1,2,7,9,25,35,0
ENSMUSG00000001786,Fbxo7,5,4,6,39,45,1
ENSMUSG00000001794,Capns1,4,21,14,114,73,4
ENSMUSG00000001802,Lrp3,1,11,21,85,94,2
ENSMUSG00000001804,Dsg4,0,0,0,0,0,0
ENSMUSG00000001815,Evx2,0,0,0,0,0,0
ENSMUSG00000001819,Hoxd13,0,0,0,0,0,0
ENSMUSG00000001823,Hoxd12,0,0,0,0,0,0
ENSMUSG00000001827,Folr1,0,1,0,2,0,1
ENSMUSG00000001829,Clpb,1,11,9,55,43,6
ENSMUSG00000001844,Zdhhc4,4,15,14,75,42,3
ENSMUSG00000001847,Rac1,6,18,20,123,70,0
ENSMUSG00000001855,Nup214,2,8,10,33,38,5
ENSMUSG00000001864,Aif1l,0,0,0,0,1,0
ENSMUSG00000001865,Cpa3,0,0,0,0,0,0
ENSMUSG00000001870,Ltbp1,0,0,1,3,1,0
ENSMUSG00000001891,Ugp2,2,10,10,55,37,0
ENSMUSG00000001901,Kcnh6,0,0,1,0,2,0
ENSMUSG00000001909,Trmt1,2,13,22,74,83,8
ENSMUSG00000001910,Nacc1,5,17,22,89,70,4
ENSMUSG00000001911,Nfix,3,8,150,122,118,1
ENSMUSG00000001918,Slc1a5,0,0,0,0,10,0
ENSMUSG00000001924,Uba1,42,126,107,730,785,20
ENSMUSG00000001930,Vwf,0,0,0,0,0,0
ENSMUSG00000001942,Siae,2,5,3,22,14,1
ENSMUSG00000001943,Vsig2,0,1,0,0,0,0
ENSMUSG00000001946,Esam,0,1,1,2,4,0
ENSMUSG00000001948,Spa17,0,0,3,14,3,0
ENSMUSG00000001962,Fam50a,2,13,11,88,79,2
ENSMUSG00000001964,Emd,4,11,17,62,58,1
ENSMUSG00000001983,Taco1,0,7,6,64,50,0
ENSMUSG00000001985,Grik3,0,0,16,6,20,0
ENSMUSG00000001986,Gria3,19,80,65,546,422,32
ENSMUSG00000001988,Npas1,0,0,0,0,0,0
ENSMUSG00000001995,Sipa1l2,0,2,25,35,24,1
ENSMUSG00000001998,Ap4e1,0,4,4,14,11,0
ENSMUSG00000001999,Blvra,3,11,7,65,42,0
ENSMUSG00000002006,Pdzd4,2,2,23,83,105,0
ENSMUSG00000002007,Srpk3,0,0,0,0,0,0
ENSMUSG00000002010,Idh3g,8,48,55,273,236,9
ENSMUSG00000002012,Pnck,3,2,26,15,35,1
ENSMUSG00000002014,Ssr4,5,29,20,179,154,9
ENSMUSG00000002015,Bcap31,35,85,24,397,298,20
ENSMUSG00000002017,Fam98a,1,12,20,80,89,1
ENSMUSG00000002020,Ltbp2,0,0,11,12,23,0
ENSMUSG00000002028,Kmt2a,1,11,32,81,79,5
ENSMUSG00000002031,Ift46,4,5,11,64,65,4
ENSMUSG00000002032,Tmem25,13,64,52,407,320,19
ENSMUSG00000002033,Cd3g,0,0,0,0,0,0
ENSMUSG00000002043,Trappc6a,0,4,6,22,22,0
ENSMUSG00000002052,Supt6,5,35,40,231,215,5
ENSMUSG00000002055,Spag5,9,0,32,130,257,0
ENSMUSG00000002057,Foxn1,0,0,0,0,0,0
ENSMUSG00000002058,Unc119,0,0,7,33,43,0
ENSMUSG00000002059,Rab34,0,1,7,32,27,0
ENSMUSG00000002064,Sdf2,24,63,44,316,241,11
ENSMUSG00000002068,Ccne1,3,7,3,65,47,0
ENSMUSG00000002076,Hsf2bp,0,0,0,0,1,0
ENSMUSG00000002083,Bbc3,0,0,4,7,5,0
ENSMUSG00000002100,Mybpc3,0,0,34,25,17,0
ENSMUSG00000002102,Psmc3,20,49,72,420,391,6
ENSMUSG00000002103,Acp2,3,7,12,56,45,2
ENSMUSG00000002104,Rapsn,0,0,0,0,0,0
ENSMUSG00000002105,Slc39a13,3,16,13,49,42,2
ENSMUSG00000002107,Celf2,15,90,106,626,540,25
ENSMUSG00000002108,Nr1h3,0,0,0,0,2,0
ENSMUSG00000002109,Ddb2,0,0,5,6,15,2
ENSMUSG00000002111,Spi1,0,0,0,0,0,0
ENSMUSG00000002129,Sf3a1,3,23,24,136,118,3
ENSMUSG00000002147,Stat6,0,3,2,2,2,0
ENSMUSG00000002190,Clgn,0,1,5,12,18,2
ENSMUSG00000002204,Napsa,0,0,0,0,0,0
ENSMUSG00000002205,Vrk3,2,7,11,48,39,3
ENSMUSG00000002210,Smg9,1,5,6,24,35,2
ENSMUSG00000002221,Paxip1,1,0,15,34,41,1
ENSMUSG00000002222,Rmnd5a,6,27,23,136,113,8
ENSMUSG00000002227,Mov10,0,1,6,9,4,0
ENSMUSG00000002228,Ppm1j,1,10,2,41,42,0
ENSMUSG00000002233,Rhoc,1,3,7,19,8,0
ENSMUSG00000002240,Prr27,0,0,0,0,0,0
ENSMUSG00000002249,Tead3,0,0,2,1,1,0
ENSMUSG00000002250,Ppard,6,10,13,104,96,4
ENSMUSG00000002257,Def6,1,0,0,1,3,0
ENSMUSG00000002265,Peg3,5,44,89,311,247,15
ENSMUSG00000002266,Zim1,0,0,0,6,5,0
ENSMUSG00000002274,Metrn,5,5,40,64,11,0
ENSMUSG00000002279,Lmf1,3,17,12,74,69,1
ENSMUSG00000002280,Ciao3,1,6,10,52,59,0
ENSMUSG00000002289,Angptl4,0,0,0,6,6,0
ENSMUSG00000002297,Dbf4,1,1,2,1,3,0
ENSMUSG00000002307,Daxx,2,7,19,41,36,2
ENSMUSG00000002308,Cd320,1,1,6,35,42,4
ENSMUSG00000002319,Ipo4,13,29,27,236,210,7
ENSMUSG00000002320,Tm9sf1,8,16,27,155,131,6
ENSMUSG00000002324,Rec8,0,0,9,6,7,0
ENSMUSG00000002325,Irf9,0,2,5,5,18,3
ENSMUSG00000002326,Gmpr2,5,17,8,66,61,2
ENSMUSG00000002329,Mdp1,5,8,21,53,63,2
ENSMUSG00000002332,Dhrs1,7,21,16,152,93,2
ENSMUSG00000002341,Ncan,3,5,28,37,46,0
ENSMUSG00000002342,Tmem161a,0,4,7,33,35,0
ENSMUSG00000002343,Armc6,5,15,14,104,152,2
ENSMUSG00000002345,Borcs8,1,6,17,89,76,2
ENSMUSG00000002346,Slc25a42,1,11,9,31,40,1
ENSMUSG00000002365,Snx9,0,5,7,20,14,2
ENSMUSG00000002372,Ranbp3,4,25,32,129,131,8
ENSMUSG00000002379,Ndufa11,8,34,29,208,221,8
ENSMUSG00000002384,Bmp8b,0,0,0,0,2,0
ENSMUSG00000002393,Nr2f6,7,13,7,136,145,2
ENSMUSG00000002395,Use1,2,13,16,111,104,2
ENSMUSG00000002396,Ocel1,0,3,3,2,9,0
ENSMUSG00000002409,Dyrk1b,2,8,29,55,50,2
ENSMUSG00000002413,Braf,0,11,15,72,68,4
ENSMUSG00000002416,Ndufb2,5,23,14,132,127,1
ENSMUSG00000002428,Hltf,2,4,5,16,14,0
ENSMUSG00000002455,Prpf6,5,22,26,107,87,1
ENSMUSG00000002458,Rgs19,0,3,1,35,66,1
ENSMUSG00000002459,Rgs20,1,1,6,9,6,0
ENSMUSG00000002475,Abhd3,21,87,24,393,124,18
ENSMUSG00000002477,Snrpd1,7,18,21,119,148,6
ENSMUSG00000002486,Tchp,0,7,13,37,41,2
ENSMUSG00000002489,Tiam1,0,0,30,19,23,0
ENSMUSG00000002496,Tsc2,2,13,20,112,84,7
ENSMUSG00000002524,Puf60,8,56,82,365,348,11
ENSMUSG00000002546,Golga2,2,29,26,138,148,3
ENSMUSG00000002550,Uck1,4,18,26,116,100,5
ENSMUSG00000002565,Scin,0,2,0,9,3,1
ENSMUSG00000002578,Ikzf4,2,6,5,36,35,1
ENSMUSG00000002580,Mien1,12,40,16,199,205,4
ENSMUSG00000002588,Pon1,0,0,0,0,0,0
ENSMUSG00000002602,Axl,0,1,17,8,3,0
ENSMUSG00000002603,Tgfb1,1,6,2,32,68,1
ENSMUSG00000002608,Ccdc97,3,16,16,90,110,3
ENSMUSG00000002617,Zfp40,0,0,5,16,16,1
ENSMUSG00000002625,Akap8l,2,19,53,173,157,16
ENSMUSG00000002633,Shh,3,18,7,114,133,8
ENSMUSG00000002635,Pdcd2l,3,11,9,59,53,3
ENSMUSG00000002658,Gtf2f1,1,17,23,92,82,4
ENSMUSG00000002660,Clpp,4,16,11,73,101,2
ENSMUSG00000002661,Alkbh7,5,21,13,160,130,2
ENSMUSG00000002668,Dennd1c,0,0,3,1,0,0
ENSMUSG00000002679,Med6,3,14,12,45,32,0
ENSMUSG00000002688,Prkd1,0,3,3,30,21,2
ENSMUSG00000002699,Lcp2,0,0,0,1,0,0
ENSMUSG00000002718,Cse1l,7,24,15,149,140,8
ENSMUSG00000002728,Naa20,7,40,20,214,177,5
ENSMUSG00000002731,Prkra,2,5,10,49,55,0
ENSMUSG00000002732,Fkbp7,1,1,0,9,9,1
ENSMUSG00000002733,Plekha3,1,16,15,84,83,0
ENSMUSG00000002741,Ykt6,3,18,18,106,124,3
ENSMUSG00000002748,Baz1b,1,9,38,66,80,4
ENSMUSG00000002763,Pex6,6,10,18,81,67,4
ENSMUSG00000002768,Mea1,3,18,9,121,111,2
ENSMUSG00000002769,Gnmt,0,0,4,4,8,0
ENSMUSG00000002771,Grin2d,0,0,19,9,47,0
ENSMUSG00000002778,Kdelr1,15,31,22,210,150,8
ENSMUSG00000002781,Tmem143,0,8,4,45,55,2
ENSMUSG00000002797,Ggct,1,5,6,35,50,0
ENSMUSG00000002799,Jag2,2,6,6,47,44,2
ENSMUSG00000002803,Btbd6,0,3,11,41,44,3
ENSMUSG00000002804,Nudt14,0,4,5,25,9,0
ENSMUSG00000002808,Epdr1,7,24,23,138,95,5
ENSMUSG00000002812,Flii,3,9,19,111,71,3
ENSMUSG00000002814,Top3a,0,1,2,2,6,0
ENSMUSG00000002820,Atg4d,1,12,18,64,70,2
ENSMUSG00000002825,Qtrt1,0,2,10,36,46,1
